"SongID","Tag"
1716,Repetitive
1720,boring
1720,monotone
1720,Repetitive
1721,Short
1724,boring
1724,Repetitive
1726,boring
1726,Repetitive
1726,Sleepy
1730,Chillout
1730,Drum&Bass
1730,Repetitive
1731,Short
1735,ambient
1735,Mellow
1736,ambient
1737,bass
1750,ambient
1751,long
1752,Calm
1752,Chillout
1756,Short
1759,long
1761,"1994"
1761,Assembly
1761,Groovy
1763,axel_foley
1763,Groovy
1765,food
1765,Jazz
1771,bossanova
1771,cover
1772,Jazz
1774,Celtic
1774,Folk
1778,Short
1779,Folk
1779,Instrumental
1780,RAW
1781,Calm
1781,Chillout
1783,Geography
1784,Funk
1784,Popcorn
1784,synthlead
1786,Accordion
1786,Mellow
1788,trance
1791,Atari
1791,Falcon
1796,animal
1797,food
1800,food
1806,animal
1808,Repetitive
1811,Jazz
1811,saxophone
1815,"1996"
1815,Accordion
1815,Compowinner
1815,trumpet
1815,waltz
1815,Wired
1818,"1996"
1818,happy
1819,Geography
1830,laugh
1839,animal
1839,Birds
1839,Samba
1842,Emotional
1843,GameRemix
1844,GameRemix
1844,Short
1845,Drum&Bass
1845,GameRemix
1847,Funky
1847,Guitar
1847,TV
1849,GameRemix
1851,Fantasy
1851,GameRemix
1852,GameRemix
1855,dance
1855,food
1855,trance
1855,Untz
1857,Untz
1859,long
1859,ORCHESTRAHIT
1860,"2001"
1860,Takeover
1863,Speak
1863,Untz
1865,GameRemix
1866,trance
1866,Untz
1867,House
1869,video
1870,"1999"
1870,AtariST
1870,Compowinner
1870,Demo
1870,DHS
1870,GameRemix
1870,Intro
1872,"1988"
1872,Amiga
1872,Demo
1872,EarlyMOD
1872,Space
1872,trance
1872,video
1874,coop
1875,"1992"
1875,Amiga
1875,Assembly
1875,Demo
1875,video
1877,"1992"
1877,TheParty
1878,Amiga
1878,Chiptune
1879,Chiptune
1879,Funky
1879,Short
1880,"1995"
1880,Gasp
1884,FrenchSpeak
1884,samples
1885,Short
1886,Emotional
1886,Epic
1886,Sad
1887,Experimental
1891,"1995"
1891,"40k"
1891,Amiga
1891,Chiptune
1891,Compowinner
1891,Gasp
1891,Intro
1891,video
1892,"1994"
1892,burp
1892,puke
1892,TheParty
1893,Short
1893,TruckDriversGearChange
1895,"1996"
1895,Assembly
1895,Demo
1895,DOS
1895,long
1895,video
1899,long
1900,long
1903,ORCHESTRAHIT
1904,Boom
1904,Short
1905,Funk
1906,cowbell
1907,FemaleMoans
1910,Guitar
1912,"2008"
1912,Assembly
1917,pachelbel
1919,Calm
1921,Short
1925,"1994"
